No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
1481,芳国　政一,よしくに,男,林,FW,54,35,19,16,11,12,13,11,10,169,133,68,64,58,52,63,60,67,1,5,1,1,1,1,1,1,1,24,456,かみかくし,NS,43,24,,ざんぞう,DR,52,25,一致,クロスドライブ,NS,67,33,,ぶんしんシュート,NS,89,51,一致,かみかくしざんぞうクロスドライブぶんしんシュート,かみかくしざんぞうクロスドライブぶんしんシュート,かみかくしざんぞうクロスドライブぶんしんシュート,かみかくしざんぞうクロスドライブぶんしんシュート,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
1482,虎西　白次,タイガー,男,山,FW,66,81,17,15,9,19,17,5,16,217,177,79,76,44,79,71,40,68,2,5,2,5,5,5,5,2,5,10,467,シュートプラス,SK,0,0,,ターザンキック,NS,31,20,一致,クンフーアタック,BS,78,42,一致,ドラゴングランド,NS,103,56,一致,シュートプラスターザンキッククンフーアタックドラゴングランド,シュートプラスターザンキッククンフーアタックドラゴングランド,シュートプラスターザンキッククンフーアタックドラゴングランド,シュートプラスターザンキッククンフーアタックドラゴングランド,SKNSBSNS,SKNSBSNS,SKNSBSNS,SKNSBSNS
1483,雀南　朱美,フェニクス,女,火,MF,64,76,14,15,14,18,13,16,14,189,172,48,77,71,76,72,76,72,5,5,5,2,5,2,5,5,5,9,501,オフェンスプラス,SK,0,0,,たつまきせんぷう,DR,17,17,,ファイアトルネード,NS,65,33,一致,バタフライドリーム,BS,103,56,,オフェンスプラスたつまきせんぷうファイアトルネードバタフライドリーム,オフェンスプラスたつまきせんぷうファイアトルネードバタフライドリーム,オフェンスプラスたつまきせんぷうファイアトルネードバタフライドリーム,オフェンスプラスたつまきせんぷうファイアトルネードバタフライドリーム,SKDRNSBS,SKDRNSBS,SKDRNSBS,SKDRNSBS
1484,竜東　青士郎,ドラゴン,男,風,DF,57,63,15,10,17,15,16,14,15,217,190,71,37,79,72,74,71,70,5,5,5,2,2,5,5,5,5,14,488,ディフェンスプラス,SK,0,0,,ドッペルゲンガー,BL,16,17,,ドラゴンクラッシュ,NS,65,33,,せんぷうじん,BB,90,33,一致,ディフェンスプラスドッペルゲンガードラゴンクラッシュせんぷうじん,ディフェンスプラスドッペルゲンガードラゴンクラッシュせんぷうじん,ディフェンスプラスドッペルゲンガードラゴンクラッシュせんぷうじん,ディフェンスプラスドッペルゲンガードラゴンクラッシュせんぷうじん,SKBLNSBB,SKBLNSBB,SKBLNSBB,SKBLNSBB
1485,武北　玄宗,タートス,男,林,GK,45,76,14,17,17,14,17,20,16,118,169,42,76,72,70,79,68,78,5,5,5,5,5,5,2,2,5,9,494,キーパープラス,SK,0,0,,ゆがむくうかん,CA,15,19,一致,マジン・ザ・ハンド（山）,CA,81,46,,ギガントウォール,CA,101,50,,キーパープラスゆがむくうかんマジン・ザ・ハンド（山）ギガントウォール,キーパープラスゆがむくうかんマジン・ザ・ハンド（山）ギガントウォール,キーパープラスゆがむくうかんマジン・ザ・ハンド（山）ギガントウォール,キーパープラスゆがむくうかんマジン・ザ・ハンド（山）ギガントウォール,SKCACACA,SKCACACA,SKCACACA,SKCACACA
1486,角丸　照文,かくまる,男,火,GK,44,54,12,10,13,16,10,12,12,145,152,71,70,69,76,52,77,70,5,1,2,1,1,2,5,2,1,20,505,ディフェンスフォース,SK,0,0,,こがらし,CA,41,27,,ちゃぶだいがえし,P1,76,41,,せいぎのてっけん,P2,125,57,,ディフェンスフォースこがらしちゃぶだいがえしせいぎのてっけん,ディフェンスフォースこがらしちゃぶだいがえしせいぎのてっけん,ディフェンスフォースこがらしちゃぶだいがえしせいぎのてっけん,ディフェンスフォースこがらしちゃぶだいがえしせいぎのてっけん,SKCAP1P2,SKCAP1P2,SKCAP1P2,SKCAP1P2
1487,中登　邦三,なかと,男,風,DF,36,37,10,8,7,8,13,14,10,147,133,44,50,50,52,63,63,54,5,5,1,1,5,1,2,5,1,20,396,ドッペルゲンガー,BL,16,17,,フーセンガム,DR,38,22,,ヒートタックル,DR,47,23,,フェイクボンバー,BL,56,30,,ドッペルゲンガーフーセンガムヒートタックルフェイクボンバー,ドッペルゲンガーフーセンガムヒートタックルフェイクボンバー,ドッペルゲンガーフーセンガムヒートタックルフェイクボンバー,ドッペルゲンガーフーセンガムヒートタックルフェイクボンバー,BLDRDRBL,BLDRDRBL,BLDRDRBL,BLDRDRBL
1488,王仁　禅竹,わに,男,火,FW,55,62,10,13,8,11,18,14,14,154,157,54,53,47,71,72,64,65,5,5,1,1,5,1,2,5,1,22,448,イカサマ！,SK,0,0,,ひゃくれつショット,NS,58,24,,ホークショット,BS,78,34,,ドラゴングランド,NS,103,56,,イカサマ！ひゃくれつショットホークショットドラゴングランド,イカサマ！ひゃくれつショットホークショットドラゴングランド,イカサマ！ひゃくれつショットホークショットドラゴングランド,イカサマ！ひゃくれつショットホークショットドラゴングランド,SKNSBSNS,SKNSBSNS,SKNSBSNS,SKNSBSNS
1489,升山　童子,わらし,女,風,DF,22,29,8,6,6,7,12,8,7,110,104,44,48,44,52,60,52,55,5,5,1,1,5,1,2,5,1,13,368,コイルターン,BL,8,15,一致,おんりょう,BL,16,17,,ざんぞう,DR,52,25,,かげぬい,BL,64,32,,コイルターンおんりょうざんぞうかげぬい,コイルターンおんりょうざんぞうかげぬい,コイルターンおんりょうざんぞうかげぬい,コイルターンおんりょうざんぞうかげぬい,BLBLDRBL,BLBLDRBL,BLBLDRBL,BLBLDRBL
1490,宮北　昭修,みやきた,男,林,MF,30,65,10,10,11,15,13,15,8,88,140,60,67,48,69,55,60,52,1,1,1,5,1,5,1,1,1,20,431,スーパースキャン（Ｂ）,BL,39,23,一致,スーパースキャン（Ｄ）,DR,38,22,一致,スピニングカット,BB,58,30,,セキュリティショット,NS,82,44,一致,スーパースキャン（Ｂ）スーパースキャン（Ｄ）スピニングカットセキュリティショット,スーパースキャン（Ｂ）スーパースキャン（Ｄ）スピニングカットセキュリティショット,スーパースキャン（Ｂ）スーパースキャン（Ｄ）スピニングカットセキュリティショット,スーパースキャン（Ｂ）スーパースキャン（Ｄ）スピニングカットセキュリティショット,BLDRBBNS,BLDRBBNS,BLDRBBNS,BLDRBBNS
1491,森滝　恭史,もりたき,男,火,MF,39,39,8,8,9,10,8,7,11,121,112,45,47,41,47,50,51,50,2,2,2,2,2,2,2,2,2,35,366,ダッシュアクセル,DR,8,15,,ターザンキック,NS,31,20,,イリュージョンボール,DR,47,23,,カマイタチ,DR,61,30,,ダッシュアクセルターザンキックイリュージョンボールカマイタチ,ダッシュアクセルターザンキックイリュージョンボールカマイタチ,ダッシュアクセルターザンキックイリュージョンボールカマイタチ,ダッシュアクセルターザンキックイリュージョンボールカマイタチ,DRNSDRDR,DRNSDRDR,DRNSDRDR,DRNSDRDR
1492,吉　勝美,よし,男,山,DF,26,47,9,8,10,9,12,12,10,81,130,40,53,59,55,69,61,54,5,5,1,1,1,1,2,5,1,33,424,コイルターン,BL,8,15,,ブレードアタック,BL,39,23,,ごりむちゅう,DR,49,23,一致,ジャッジスルー,DR,63,22,,コイルターンブレードアタックごりむちゅうジャッジスルー,コイルターンブレードアタックごりむちゅうジャッジスルー,コイルターンブレードアタックごりむちゅうジャッジスルー,コイルターンブレードアタックごりむちゅうジャッジスルー,BLBLDRDR,BLBLDRDR,BLBLDRDR,BLBLDRDR
1493,谷之浦　和彦,やのうら,男,林,GK,46,61,14,12,11,12,12,11,13,169,136,52,57,59,60,55,56,62,5,1,1,1,1,1,1,1,1,35,436,キラーブレード,CA,12,17,一致,シュートポケット,CA,44,28,一致,ジャッジスルー,DR,63,22,,フルパワーシールド,P1,61,34,,キラーブレードシュートポケットジャッジスルーフルパワーシールド,キラーブレードシュートポケットジャッジスルーフルパワーシールド,キラーブレードシュートポケットジャッジスルーフルパワーシールド,キラーブレードシュートポケットジャッジスルーフルパワーシールド,CACADRP1,CACADRP1,CACADRP1,CACADRP1
1494,依田　博治,よだ,男,風,DF,19,38,10,8,8,7,11,12,9,77,142,45,53,56,54,67,60,56,5,5,1,1,1,1,2,5,1,20,411,コイルターン,BL,8,15,一致,イリュージョンボール,DR,47,23,,カマイタチ,DR,61,30,一致,ボルケイノカット,BB,73,36,,コイルターンイリュージョンボールカマイタチボルケイノカット,コイルターンイリュージョンボールカマイタチボルケイノカット,コイルターンイリュージョンボールカマイタチボルケイノカット,コイルターンイリュージョンボールカマイタチボルケイノカット,BLDRDRBB,BLDRDRBB,BLDRDRBB,BLDRDRBB
1495,荒場　憲章,あらば,男,林,FW,54,21,19,17,14,11,11,13,13,167,144,68,67,60,58,60,61,64,1,5,1,1,1,1,1,1,1,22,460,ダイナマイトシュート,NS,70,35,,シャインドライブ,NS,78,42,,じごくぐるま,DR,85,38,,デュアルストライク,NS,94,53,一致,ダイナマイトシュートシャインドライブじごくぐるまデュアルストライク,ダイナマイトシュートシャインドライブじごくぐるまデュアルストライク,ダイナマイトシュートシャインドライブじごくぐるまデュアルストライク,ダイナマイトシュートシャインドライブじごくぐるまデュアルストライク,NSNSDRNS,NSNSDRNS,NSNSDRNS,NSNSDRNS
1496,飯谷　泰司,いいたに,男,山,MF,44,39,17,7,14,13,7,9,11,112,132,64,52,63,57,56,64,62,5,1,2,1,1,2,5,2,1,16,434,まきわりチョップ,P1,15,19,一致,ひゃくれつショット,NS,58,24,,ダブルグレネード,NS,70,35,,ざんぞう,DR,52,25,,まきわりチョップひゃくれつショットダブルグレネードざんぞう,まきわりチョップひゃくれつショットダブルグレネードざんぞう,まきわりチョップひゃくれつショットダブルグレネードざんぞう,まきわりチョップひゃくれつショットダブルグレネードざんぞう,P1NSNSDR,P1NSNSDR,P1NSNSDR,P1NSNSDR
1497,貝塚　桂次,かいづか,男,林,DF,64,66,15,13,17,13,13,17,16,165,129,58,61,54,56,62,59,54,2,2,2,2,2,2,2,2,2,15,419,のろい,DR,15,17,一致,ごりむちゅう,DR,49,23,,キラースライド,BL,8,10,一致,くものいと,BL,56,30,一致,のろいごりむちゅうキラースライドくものいと,のろいごりむちゅうキラースライドくものいと,のろいごりむちゅうキラースライドくものいと,のろいごりむちゅうキラースライドくものいと,DRDRBLBL,DRDRBLBL,DRDRBLBL,DRDRBLBL
1498,河原　大二郎,かわら,男,林,MF,64,70,17,16,16,14,15,15,13,171,129,55,55,57,53,60,57,60,2,2,2,2,2,2,2,2,2,9,406,ターザンキック,NS,31,20,,クロスドライブ,NS,67,33,,どくぎりのじゅつ,DR,24,17,,まぼろしドリブル,DR,65,32,一致,ターザンキッククロスドライブどくぎりのじゅつまぼろしドリブル,ターザンキッククロスドライブどくぎりのじゅつまぼろしドリブル,ターザンキッククロスドライブどくぎりのじゅつまぼろしドリブル,ターザンキッククロスドライブどくぎりのじゅつまぼろしドリブル,NSNSDRDR,NSNSDRDR,NSNSDRDR,NSNSDRDR
1499,黒沢　賢人,ジャック,男,林,DF,50,54,8,9,12,14,10,17,11,173,144,70,65,48,60,63,71,52,1,1,1,5,1,5,1,1,1,20,449,イカサマ！,SK,0,0,,どくぎりのじゅつ,DR,24,17,,ダブルグレネード,NS,70,35,,フェイクボンバー,BL,56,30,,イカサマ！どくぎりのじゅつダブルグレネードフェイクボンバー,イカサマ！どくぎりのじゅつダブルグレネードフェイクボンバー,イカサマ！どくぎりのじゅつダブルグレネードフェイクボンバー,イカサマ！どくぎりのじゅつダブルグレネードフェイクボンバー,SKDRNSBL,SKDRNSBL,SKDRNSBL,SKDRNSBL
1500,小松　四十四,こまつ,男,火,FW,45,27,17,15,16,14,17,13,17,169,148,61,63,70,62,63,60,66,1,5,1,4,4,4,4,4,4,24,469,あびせげり,NS,45,24,一致,ダークトルネード,BS,78,42,,トカチェフボンバー,NS,80,42,,オオウチワ,DR,78,36,,あびせげりダークトルネードトカチェフボンバーオオウチワ,あびせげりダークトルネードトカチェフボンバーオオウチワ,あびせげりダークトルネードトカチェフボンバーオオウチワ,あびせげりダークトルネードトカチェフボンバーオオウチワ,NSBSNSDR,NSBSNSDR,NSBSNSDR,NSBSNSDR
1501,佐竹　正二,さたけ,男,林,DF,93,107,21,20,23,21,22,21,22,123,109,51,47,49,40,49,44,45,5,5,5,5,5,5,5,5,5,35,360,ブレードアタック,BL,39,23,,うしろのしょうめん,BL,41,17,,フレイムダンス,BL,62,32,,サイクロン,BL,64,32,,ブレードアタックうしろのしょうめんフレイムダンスサイクロン,ブレードアタックうしろのしょうめんフレイムダンスサイクロン,ブレードアタックうしろのしょうめんフレイムダンスサイクロン,ブレードアタックうしろのしょうめんフレイムダンスサイクロン,BLBLBLBL,BLBLBLBL,BLBLBLBL,BLBLBLBL
1502,志田　英佳,しだ,女,火,GK,56,29,19,14,13,14,14,12,11,162,138,64,60,52,80,56,69,61,1,5,1,1,1,2,1,1,1,34,476,ぞくせいきょうか,SK,0,0,,トルネードキャッチ,CA,13,19,,スラッシュネイル,CA,63,34,,デュアルスマッシュ,CA,90,48,,ぞくせいきょうかトルネードキャッチスラッシュネイルデュアルスマッシュ,ぞくせいきょうかトルネードキャッチスラッシュネイルデュアルスマッシュ,ぞくせいきょうかトルネードキャッチスラッシュネイルデュアルスマッシュ,ぞくせいきょうかトルネードキャッチスラッシュネイルデュアルスマッシュ,SKCACACA,SKCACACA,SKCACACA,SKCACACA
1503,瀬川　流留,ルル,女,風,FW,46,51,11,12,13,11,13,13,12,145,170,78,55,62,82,78,55,56,4,4,4,4,4,4,4,4,4,39,505,コンドルダイブ,NS,58,24,一致,ブレードアタック,BL,39,23,一致,プリマドンナ,DR,69,32,,トカチェフボンバー,NS,80,42,,コンドルダイブブレードアタックプリマドンナトカチェフボンバー,コンドルダイブブレードアタックプリマドンナトカチェフボンバー,コンドルダイブブレードアタックプリマドンナトカチェフボンバー,コンドルダイブブレードアタックプリマドンナトカチェフボンバー,NSBLDRNS,NSBLDRNS,NSBLDRNS,NSBLDRNS
1504,高江　万里夢,まりむ,女,火,FW,48,36,19,15,11,12,14,14,14,173,133,69,60,60,56,59,60,61,1,5,1,1,1,1,1,1,1,28,453,むぞくせい,SK,0,0,,コンドルダイブ,NS,58,24,,リボンシャワー,DR,52,25,,ホークショット,BS,78,34,,むぞくせいコンドルダイブリボンシャワーホークショット,むぞくせいコンドルダイブリボンシャワーホークショット,むぞくせいコンドルダイブリボンシャワーホークショット,むぞくせいコンドルダイブリボンシャワーホークショット,SKNSDRBS,SKNSDRBS,SKNSDRBS,SKNSDRBS
1505,高峰　瑛里沙,えりさ,女,林,DF,43,68,9,10,14,7,8,7,9,158,176,49,53,66,51,57,57,62,4,1,1,2,2,5,1,4,1,22,417,あびせげり,NS,45,24,,クンフーアタック,BS,78,42,,ブレードアタック,BL,39,23,,ぶんしんディフェンス,BL,73,36,一致,あびせげりクンフーアタックブレードアタックぶんしんディフェンス,あびせげりクンフーアタックブレードアタックぶんしんディフェンス,あびせげりクンフーアタックブレードアタックぶんしんディフェンス,あびせげりクンフーアタックブレードアタックぶんしんディフェンス,NSBSBLBL,NSBSBLBL,NSBSBLBL,NSBSBLBL
1506,田野倉　安志,たのくら,男,火,FW,45,38,15,11,12,17,9,11,8,180,136,67,53,63,52,52,61,60,5,1,2,1,1,2,5,2,1,19,427,グレネードショット,NS,24,17,一致,クンフーヘッド,NS,70,35,,ドこんじょうバット,BS,80,42,一致,ヒートタックル,DR,47,23,一致,グレネードショットクンフーヘッドドこんじょうバットヒートタックル,グレネードショットクンフーヘッドドこんじょうバットヒートタックル,グレネードショットクンフーヘッドドこんじょうバットヒートタックル,グレネードショットクンフーヘッドドこんじょうバットヒートタックル,NSNSBSDR,NSNSBSDR,NSNSBSDR,NSNSBSDR
1507,千原　桂花,ちはら,女,山,GK,44,40,11,9,9,9,10,8,11,121,115,74,73,76,42,48,49,46,2,2,2,2,2,2,2,2,2,20,428,ねっけつパンチ,P1,8,17,,サイクロン,BL,64,32,,スーパーしこふみ,BB,44,25,,スラッシュネイル,CA,63,34,,ねっけつパンチサイクロンスーパーしこふみスラッシュネイル,ねっけつパンチサイクロンスーパーしこふみスラッシュネイル,ねっけつパンチサイクロンスーパーしこふみスラッシュネイル,ねっけつパンチサイクロンスーパーしこふみスラッシュネイル,P1BLBBCA,P1BLBBCA,P1BLBBCA,P1BLBBCA
1508,照川　大成,てるかわ,男,林,DF,36,68,7,7,14,10,10,7,9,167,184,48,61,78,44,55,52,60,5,2,5,5,2,5,5,5,5,22,420,しこふみ,BL,12,15,,ターザンキック,NS,31,20,,ジャイアントスピン,BB,14,17,,クンフーヘッド,NS,70,35,一致,しこふみターザンキックジャイアントスピンクンフーヘッド,しこふみターザンキックジャイアントスピンクンフーヘッド,しこふみターザンキックジャイアントスピンクンフーヘッド,しこふみターザンキックジャイアントスピンクンフーヘッド,BLNSBBNS,BLNSBBNS,BLNSBBNS,BLNSBBNS
1509,豊見山　世津,とみやま,女,風,FW,32,33,12,11,11,11,15,12,7,138,137,44,53,63,52,71,52,56,5,5,1,1,1,1,2,5,1,18,409,ひゃくれつショット,NS,58,24,,ごりむちゅう,DR,49,23,,クンフーヘッド,NS,70,35,,クンフーアタック,BS,78,42,,ひゃくれつショットごりむちゅうクンフーヘッドクンフーアタック,ひゃくれつショットごりむちゅうクンフーヘッドクンフーアタック,ひゃくれつショットごりむちゅうクンフーヘッドクンフーアタック,ひゃくれつショットごりむちゅうクンフーヘッドクンフーアタック,NSDRNSBS,NSDRNSBS,NSDRNSBS,NSDRNSBS
1510,浜田　二三男,ふみお,男,山,FW,54,24,13,13,16,17,15,16,12,158,130,68,76,70,62,49,73,62,1,5,1,5,1,5,1,1,1,24,484,モンキーターン,DR,15,17,一致,クルクルヘッド,NS,67,33,一致,シャインドライブ,NS,78,42,,にひゃくれつショット,BS,87,51,,モンキーターンクルクルヘッドシャインドライブにひゃくれつショット,モンキーターンクルクルヘッドシャインドライブにひゃくれつショット,モンキーターンクルクルヘッドシャインドライブにひゃくれつショット,モンキーターンクルクルヘッドシャインドライブにひゃくれつショット,DRNSNSBS,DRNSNSBS,DRNSNSBS,DRNSNSBS
1511,深谷　竜人,カヤート,男,火,FW,43,22,19,15,13,14,14,10,11,147,132,68,67,56,54,62,69,64,1,5,1,1,1,1,1,1,1,20,460,サイコショット,NS,31,20,,ドラゴンクラッシュ,NS,65,33,,ドラゴンキャノン,BS,89,51,一致,れっぷうダッシュ,DR,74,36,一致,サイコショットドラゴンクラッシュドラゴンキャノンれっぷうダッシュ,サイコショットドラゴンクラッシュドラゴンキャノンれっぷうダッシュ,サイコショットドラゴンクラッシュドラゴンキャノンれっぷうダッシュ,サイコショットドラゴンクラッシュドラゴンキャノンれっぷうダッシュ,NSNSBSDR,NSNSBSDR,NSNSBSDR,NSNSBSDR
1512,日根　次郎,ひね,男,林,DF,48,54,12,12,13,12,12,10,14,151,142,58,63,56,58,57,59,74,1,1,1,1,1,1,1,1,1,26,451,おんりょう,BL,16,17,一致,フェイクボール,BL,46,25,一致,ジグザグスパーク,DR,47,23,,ジャッジスルー,DR,63,22,,おんりょうフェイクボールジグザグスパークジャッジスルー,おんりょうフェイクボールジグザグスパークジャッジスルー,おんりょうフェイクボールジグザグスパークジャッジスルー,おんりょうフェイクボールジグザグスパークジャッジスルー,BLBLDRDR,BLBLDRDR,BLBLDRDR,BLBLDRDR
1513,益川　弥瑞生,ますかわ,男,林,GK,18,37,5,11,12,7,8,4,8,134,124,50,48,61,43,44,44,52,4,1,1,2,2,5,1,4,1,12,354,まきわりチョップ,P1,15,19,,トルネードキャッチ,CA,13,19,,ワイルドクロー,CA,41,27,,こがらし,CA,41,27,,まきわりチョップトルネードキャッチワイルドクローこがらし,まきわりチョップトルネードキャッチワイルドクローこがらし,まきわりチョップトルネードキャッチワイルドクローこがらし,まきわりチョップトルネードキャッチワイルドクローこがらし,P1CACACA,P1CACACA,P1CACACA,P1CACACA
1514,羅本　昭二,らもと,男,風,DF,22,28,4,8,7,6,6,4,5,149,150,54,56,57,61,56,54,52,1,1,1,1,1,1,1,1,1,42,432,キラースライド,BL,8,10,,スピニングカット,BB,58,30,一致,プロファイルゾーン,BL,73,36,一致,ダブルサイクロン,BL,84,40,一致,キラースライドスピニングカットプロファイルゾーンダブルサイクロン,キラースライドスピニングカットプロファイルゾーンダブルサイクロン,キラースライドスピニングカットプロファイルゾーンダブルサイクロン,キラースライドスピニングカットプロファイルゾーンダブルサイクロン,BLBBBLBL,BLBBBLBL,BLBBBLBL,BLBBBLBL
1515,朝久保　允彦,あさくぼ,男,風,MF,31,73,9,9,16,7,11,9,10,165,198,48,56,64,49,63,60,56,4,1,1,2,2,5,1,4,1,21,417,ダッシュアクセル,DR,8,15,,ラン・ボール・ラン,NS,65,33,,ごりむちゅう,DR,49,23,,れっぷうダッシュ,DR,74,36,,ダッシュアクセルラン・ボール・ランごりむちゅうれっぷうダッシュ,ダッシュアクセルラン・ボール・ランごりむちゅうれっぷうダッシュ,ダッシュアクセルラン・ボール・ランごりむちゅうれっぷうダッシュ,ダッシュアクセルラン・ボール・ランごりむちゅうれっぷうダッシュ,DRNSDRDR,DRNSDRDR,DRNSDRDR,DRNSDRDR
1516,池戸　天音,てんねん,女,火,FW,45,39,17,10,12,14,9,9,11,125,149,67,59,60,52,62,65,58,5,1,2,1,1,2,5,2,1,20,443,スパイラルショット,NS,31,20,,レインボーループ,LS,70,52,,ローズスプラッシュ,NS,68,35,,カマイタチ,DR,61,30,,スパイラルショットレインボーループローズスプラッシュカマイタチ,スパイラルショットレインボーループローズスプラッシュカマイタチ,スパイラルショットレインボーループローズスプラッシュカマイタチ,スパイラルショットレインボーループローズスプラッシュカマイタチ,NSLSNSDR,NSLSNSDR,NSLSNSDR,NSLSNSDR
1517,伊奈　合歓子,ねむこ,女,林,DF,42,45,10,9,8,8,8,10,11,125,101,44,50,52,53,48,53,52,2,2,2,2,2,2,2,2,2,23,375,ひとりワンツー,DR,17,17,,クルクルヘッド,NS,67,33,,うしろのしょうめん,BL,41,17,,サイクロン,BL,64,32,,ひとりワンツークルクルヘッドうしろのしょうめんサイクロン,ひとりワンツークルクルヘッドうしろのしょうめんサイクロン,ひとりワンツークルクルヘッドうしろのしょうめんサイクロン,ひとりワンツークルクルヘッドうしろのしょうめんサイクロン,DRNSBLBL,DRNSBLBL,DRNSBLBL,DRNSBLBL
1518,神水流　美映,かみずる,女,風,DF,42,42,10,11,11,10,11,9,9,129,110,42,40,51,40,43,40,51,2,2,2,2,2,2,2,2,2,38,345,おんりょう,BL,16,17,,たつまきせんぷう,DR,17,17,一致,くものいと,BL,56,30,,ざんぞう,DR,52,25,,おんりょうたつまきせんぷうくものいとざんぞう,おんりょうたつまきせんぷうくものいとざんぞう,おんりょうたつまきせんぷうくものいとざんぞう,おんりょうたつまきせんぷうくものいとざんぞう,BLDRBLDR,BLDRBLDR,BLDRBLDR,BLDRBLDR
1519,鉄北　園子,てつきた,女,風,GK,43,74,8,7,16,7,8,7,10,169,174,42,53,63,43,61,61,62,4,1,1,2,2,5,1,4,1,16,401,スワンダイブ,CA,10,17,一致,キラースライド,BL,8,10,,ワイルドクロー,CA,41,27,,セーフティプロテクト,P1,83,43,一致,スワンダイブキラースライドワイルドクローセーフティプロテクト,スワンダイブキラースライドワイルドクローセーフティプロテクト,スワンダイブキラースライドワイルドクローセーフティプロテクト,スワンダイブキラースライドワイルドクローセーフティプロテクト,CABLCAP1,CABLCAP1,CABLCAP1,CABLCAP1
1520,倉持　紅葉,くらもち,女,火,DF,69,72,15,14,17,17,13,15,16,169,156,52,53,60,56,56,57,56,2,2,2,2,2,2,2,2,2,39,429,キラースライド,BL,8,10,,こがらし,CA,41,27,,はなふぶき,CA,48,28,,くものいと,BL,56,30,,キラースライドこがらしはなふぶきくものいと,キラースライドこがらしはなふぶきくものいと,キラースライドこがらしはなふぶきくものいと,キラースライドこがらしはなふぶきくものいと,BLCACABL,BLCACABL,BLCACABL,BLCACABL
1521,執行　美紀,しぎょう,女,火,MF,36,47,17,9,12,13,8,9,9,127,136,64,58,56,55,60,68,60,5,1,2,1,1,2,5,2,1,19,440,ひとりワンツー,DR,17,17,一致,かみかくし,NS,43,24,,イリュージョンボール,DR,47,23,,かげぬい,BL,64,32,,ひとりワンツーかみかくしイリュージョンボールかげぬい,ひとりワンツーかみかくしイリュージョンボールかげぬい,ひとりワンツーかみかくしイリュージョンボールかげぬい,ひとりワンツーかみかくしイリュージョンボールかげぬい,DRNSDRBL,DRNSDRBL,DRNSDRBL,DRNSDRBL
1522,高津　和史,たかつ,男,山,GK,32,40,8,11,10,17,8,10,10,123,156,56,71,60,60,55,55,60,1,1,1,5,1,5,1,1,1,20,437,トルネードキャッチ,CA,13,19,,たつまきせんぷう,DR,17,17,,シュートポケット,CA,44,28,,ドこんじょうキャッチ,CA,69,36,一致,トルネードキャッチたつまきせんぷうシュートポケットドこんじょうキャッチ,トルネードキャッチたつまきせんぷうシュートポケットドこんじょうキャッチ,トルネードキャッチたつまきせんぷうシュートポケットドこんじょうキャッチ,トルネードキャッチたつまきせんぷうシュートポケットドこんじょうキャッチ,CADRCACA,CADRCACA,CADRCACA,CADRCACA
1523,田所　智徳,たどころ,男,風,FW,55,51,10,12,14,13,11,14,12,169,136,60,57,56,62,60,54,55,4,4,4,4,4,4,4,4,4,27,431,スピニングシュート,NS,24,17,一致,コンドルダイブ,NS,58,24,一致,イリュージョンボール,DR,47,23,,フリーズショット,NS,67,33,,スピニングシュートコンドルダイブイリュージョンボールフリーズショット,スピニングシュートコンドルダイブイリュージョンボールフリーズショット,スピニングシュートコンドルダイブイリュージョンボールフリーズショット,スピニングシュートコンドルダイブイリュージョンボールフリーズショット,NSNSDRNS,NSNSDRNS,NSNSDRNS,NSNSDRNS
1524,津野　軍治,フォース,男,山,GK,21,47,10,8,7,9,14,14,11,114,129,53,60,62,58,70,62,59,5,5,1,1,1,1,2,5,1,20,444,しこふみ,BL,12,15,一致,タフネスブロック,CA,10,17,一致,ねっけつヘッド,P1,46,28,,ゴールずらし,CA,63,34,一致,しこふみタフネスブロックねっけつヘッドゴールずらし,しこふみタフネスブロックねっけつヘッドゴールずらし,しこふみタフネスブロックねっけつヘッドゴールずらし,しこふみタフネスブロックねっけつヘッドゴールずらし,BLCAP1CA,BLCAP1CA,BLCAP1CA,BLCAP1CA
1525,寺下　新三郎,デビル,男,林,FW,18,60,12,13,15,17,13,17,10,136,153,63,68,56,73,67,76,66,1,1,1,5,1,5,1,1,1,20,489,ぞくせいきょうか,SK,0,0,,フリーズショット,NS,67,33,一致,ダークトルネード,BS,78,42,一致,ジグザグスパーク,DR,47,23,,ぞくせいきょうかフリーズショットダークトルネードジグザグスパーク,ぞくせいきょうかフリーズショットダークトルネードジグザグスパーク,ぞくせいきょうかフリーズショットダークトルネードジグザグスパーク,ぞくせいきょうかフリーズショットダークトルネードジグザグスパーク,SKNSBSDR,SKNSBSDR,SKNSBSDR,SKNSBSDR
